title,author,type,publication_year,genre,isbn,copies_available,description,original stock
Crime and Punishment,Fyodor Dostoevsky,Paperback,1866,Classic Fiction,9780143058144,6,"A psychological exploration of guilt, morality, and redemption in 19th-century Russia.",6
The Odyssey,Homer,Hardcover,-700,Epic Poetry,9780140268867,3,An epic poem recounting Odysseus' perilous journey home after the Trojan War.,3
The Odyssey,Homer,Audiobook,2007,Epic Poetry,9780143059264,5,An epic poem recounting Odysseus' perilous journey home after the Trojan War.,5
Jane Eyre,Charlotte Brontë,Paperback,1847,Classic Romance,9780141441146,4,"A compelling tale of love, independence, and moral growth set in Victorian England.",4
Jane Eyre,Charlotte Brontë,eBook,2015,Classic Romance,9781509827794,9,"A compelling tale of love, independence, and moral growth set in Victorian England.",9
Frankenstein,Mary Shelley,Paperback,1818,Science Fiction,9780141439471,5,The haunting story of a scientist's quest to create life and its tragic consequences.,5
Frankenstein,Mary Shelley,Audiobook,2005,Science Fiction,9780142429172,2,The haunting story of a scientist's quest to create life and its tragic consequences.,2
The Lord of the Rings,J.R.R. Tolkien,Hardcover,1954,Fantasy,9780618640157,2,A sweeping fantasy epic about the struggle between good and evil in Middle-earth.,2
The Lord of the Rings,J.R.R. Tolkien,Audiobook,1990,Fantasy,9780261102316,4,A sweeping fantasy epic about the struggle between good and evil in Middle-earth.,4
Dracula,Bram Stoker,Paperback,1897,Horror,9780486411095,3,The iconic vampire tale that blends Gothic horror with an exploration of fear and desire.,3
Dracula,Bram Stoker,eBook,2013,Horror,9781627936668,12,The iconic vampire tale that blends Gothic horror with an exploration of fear and desire.,12
The Shining,Stephen King,Hardcover,1977,Horror,9780385121675,4,A chilling psychological horror story about a haunted hotel and a family on the brink.,4
The Shining,Stephen King,eBook,2012,Horror,9780385121675,8,A chilling psychological horror story about a haunted hotel and a family on the brink.,8
A Brief History of Time,Stephen Hawking,Paperback,1988,Science,9780553380163,5,"An accessible explanation of the universe's origins, structure, and mysteries.",5
A Brief History of Time,Stephen Hawking,Audiobook,2018,Science,9781982109417,10,"An accessible explanation of the universe's origins, structure, and mysteries.",10
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,2011,Anthropology,9780062316097,6,A thought-provoking journey through the history of humanity and our impact on the world.,6
Sapiens: A Brief History of Humankind,Yuval Noah Harari,eBook,2014,Anthropology,9780062316097,18,A thought-provoking journey through the history of humanity and our impact on the world.,18
The Road,Cormac McCarthy,Paperback,2006,Post-Apocalyptic,9780307387899,3,A bleak yet touching post-apocalyptic journey of survival and parental love.,3
The Road,Cormac McCarthy,Audiobook,2007,Post-Apocalyptic,9780739343245,5,A bleak yet touching post-apocalyptic journey of survival and parental love.,5
Becoming,Michelle Obama,Hardcover,2018,Memoir,9781524763138,12,A deeply personal and inspiring memoir by the former First Lady of the United States.,12
Becoming,Michelle Obama,eBook,2018,Memoir,9781524763138,25,A deeply personal and inspiring memoir by the former First Lady of the United States.,25
The Silent Patient,Alex Michaelides,Paperback,2019,Thriller,9781250301697,8,A gripping psychological thriller about a woman's silence and a therapist's obsession.,8
The Silent Patient,Alex Michaelides,Audiobook,2019,Thriller,9781250317544,4,A gripping psychological thriller about a woman's silence and a therapist's obsession.,4
